schema_version,reference_id,parent_source_id,intake_id,view_role,priority,storage_key,relative_path,availability,sha256,selection_status,notes
2,FV-HON-P1-VIEW-01,FV-HON-REF-008,FV-HON-INTAKE-001,front-three-quarter,primary,vf-assets-input,0404 (1)(1).png,external,d862d6dc727da826a5bceb608a2e09db958ed2c61db8770e69ed685db22521fa,selected,self-recorded Model 2 capture; pose-derived not orthographic
2,FV-HON-P1-VIEW-02,FV-HON-REF-008,FV-HON-INTAKE-002,back,primary,vf-assets-input,0404 (1).png,external,a6ec850e984393d53bc34c9c9a60e3bc0568505747d99d99ddc25461b401e9bc,selected,self-recorded Model 2 capture; pose-derived not orthographic
2,FV-HON-P1-VIEW-03,FV-HON-REF-008,FV-HON-INTAKE-003,left-rear-three-quarter,primary,vf-assets-input,05fed69f-4329-43fe-996c-adc6b2df9ab3_frame_00000.png,external,b65b230706e0cc8d2002f3c04b6b73b14ebb89c33c0163030662079b31fcdd79,selected,self-recorded Model 2 capture; pose-derived not orthographic
2,FV-HON-P1-VIEW-04,FV-HON-REF-008,FV-HON-INTAKE-009,right-side-detail,primary,vf-assets-input,2f636172-c4f7-4d0f-adc8-d47521e634d1_frame_00003.png,external,0b355b3e41dd86a25059df8f7a53ae1008418a6b5142dd03ae937e514353c404,selected,self-recorded Model 2 capture; pose-derived not orthographic
2,FV-HON-P1-VIEW-05,FV-HON-REF-008,FV-HON-INTAKE-015,right-side-silhouette,primary,vf-assets-input,c6530ed2-ff96-4d0d-9ba3-3d78ca674588_frame_00008.png,external,f08ed3375bd9c9b85e4e437b9be49e71ca84b9e2b07a70a0a2aa2883ed89f206,selected,self-recorded Model 2 capture; pose-derived not orthographic
2,FV-HON-P1-VIEW-06,FV-HON-REF-008,FV-HON-INTAKE-017,back-detail,primary,vf-assets-input,d3b6e0a8-a0a8-4faa-9cc9-74297467e6e0_frame_00005.png,external,37732d73d7ed462aae926a7e968a19616208e38a8040d340354328f4d80aa197,selected,self-recorded Model 2 capture; pose-derived not orthographic
2,FV-HON-P1-VIEW-07,FV-HON-REF-008,FV-HON-INTAKE-018,left-side-stance,primary,vf-assets-input,frame_00036.png,external,64913a31f9bb88e4d885e2573c55d85ef3ce94ea021911d2dcf11f0f67e50a48,selected,self-recorded Model 2 capture; pose-derived not orthographic
2,FV-HON-P1-VIEW-08,FV-HON-REF-008,FV-HON-INTAKE-021,front-three-quarter-stance,primary,vf-assets-input,frame_00317.png,external,7d79b9f31a657b96207bd0a6d9e46e159bf170e64c105bb034c1638d62fc68a3,selected,self-recorded Model 2 capture; pose-derived not orthographic
2,FV-HON-P1-VIEW-09,FV-HON-REF-008,FV-HON-INTAKE-022,rear-three-quarter-stance,primary,vf-assets-input,frame_00325.png,external,e1b4829d7878d11a4af159419366d65f4da786b7958c1f95a8a253a851dba7c8,selected,self-recorded Model 2 capture; pose-derived not orthographic
2,FV-HON-P1-VIEW-10,FV-HON-REF-008,FV-HON-INTAKE-019,high-kick-silhouette,deformation,vf-assets-input,frame_00040.png,external,007be67ce44e8243bbd3dc449fcb62b4e18444f1ef07984170b591bcb7d52119,selected,self-recorded Model 2 capture; pose-derived not orthographic
2,FV-HON-P1-VIEW-11,FV-HON-REF-008,FV-HON-INTAKE-020,inverted-underside,construction,vf-assets-input,frame_00041.png,external,ba033cc6e9167c9a5190e203e2576e839866e0b50aedc847459caa0c9209cd59,selected,self-recorded Model 2 capture; pose-derived not orthographic
2,FV-HON-P1-VIEW-12,FV-HON-REF-008,FV-HON-INTAKE-026,skirt-boots-underside,construction,vf-assets-input,frame_00344.png,external,bb881e3dc48256231d53a4093dec5d9328a6a60f8dc92fee6b2306fe8fdbb213,selected,self-recorded Model 2 capture; pose-derived not orthographic
